[2A],[6A],[9B]|19.8238348508|45.2494278377|FUTOŠKA - BOLNICA|ee352|I
[2A],[6A],[9B],[51A],[52A],[53A],[54A],[55A]|19.815564749|45.2485623853|FUTOŠKA - BULEVAR EVROPE|1028|I
[2A],[9B]|19.8075067499|45.2482734052|BUL. S. JOVANOVIĆA - FUTOŠKI PUT|ee393|I
[2A],[9B]|19.8053597388|45.2515983077|BUL. S. JOVANOVIĆA - BRANISLAVA BOROTE|ee403|I
[2A],[7B],[8B],[9B],[18B]|19.8031021067|45.2529483166|BUL. J. DUČIĆA - BUL. S. JOVANOVIĆA|ee413|I
[2A],[7B],[8B],[9B],[18B]|19.7983752275|45.2513539058|BUL. J. DUČIĆA - BRAĆE DRONJAK|ee423|I
[2A],[7B],[9B],[18B]|19.7947978105|45.2500788277|BUL. JOVANA DUČIĆA - IGRALIŠTE|ee433|I
[2A],[7A],[7B],[8B],[9B],[18A],[18B]|19.7915144259|45.2489713023|NOVO NASELJE - BISTRICA - OKRETNICA||I
[2A],[6A],[51A],[52A],[53A],[54A],[55A]|19.8289089911|45.2492337673|FUTOŠKA - JODNA BANJA|1030|I
[2A],[2B],[18A],[18B]|19.8416138869|45.255083741|USPENSKA - ŠAFARIKOVA|ee221|I
[2B],[10B],[12B],[14B],[15B]|19.8422463011|45.2548499029|USPENSKA - POZORIŠNI TRG|ee302|I
[2B],[7A],[9A],[18A]|19.7936823203|45.2495765937|BUL. J.DUČIĆA - IGRALIŠTE|ee463|I
[2B],[7A],[8A],[9A],[18A]|19.7983862612|45.2511237051|BUL. J. DUČIĆA - BATE BRKIĆA|ee473|I
[2B],[7A],[8A],[9A],[18A]|19.8018919417|45.2523770585|BUL. J. DUČIĆA - ROBNA KUĆA|ee483|I
[2B],[9A]|19.8056491406|45.2510355315|BUL. S.JOVANOVIĆA - DOM ZDRAVLJA|ee494|I
[2B],[6B]|19.8331936901|45.2498730986|FUTOŠKA - BRAĆE RIBNIKAR|ee544|I
[2B],[7A],[8A],[9A],[18A]|19.791754249|45.2489224745|NOVO NASELJE - BISTRICA - OKRETNICA||I
[2B],[6B],[9A],[51B],[52B],[53B],[54B],[55B]|19.8177958089|45.2488161894|FUTOŠKA - HIGIJENSKI ZAVOD|1033|I
